자치구,행정동,수급자수
종로구,사직동,111
종로구,삼청동,44
종로구,부암동,130
종로구,평창동,174
종로구,무악동,229
종로구,교남동,250
종로구,가회동,80
종로구,종로1.2.3.4가동,875
종로구,종로5.6가동,319
종로구,이화동,293
종로구,창신1동,441
종로구,창신2동,617
종로구,창신3동,266
종로구,숭인1동,356
종로구,숭인2동,514
종로구,청운효자동,232
종로구,혜화동,353
종로구,기타,515
중구,소공동,44
중구,회현동,433
중구,명동,60
중구,필동,114
중구,장충동,153
중구,광희동,239
중구,을지로동,153
중구,신당5동,594
중구,황학동,595
중구,중림동,704
중구,신당동,504
중구,다산동,543
중구,약수동,998
중구,청구동,816
중구,동화동,226
중구,기타,88
용산구,후암동,952
용산구,용산2가동,678
용산구,남영동,1411
용산구,원효로2동,492
용산구,효창동,162
용산구,용문동,456
용산구,이촌1동,58
용산구,이촌2동,199
용산구,이태원1동,242
용산구,이태원2동,316
용산구,서빙고동,389
용산구,보광동,1058
용산구,청파동,1225
용산구,원효로1동,450
용산구,한강로동,447
용산구,한남동,496
용산구,기타,259
성동구,왕십리2동,616
성동구,마장동,855
성동구,사근동,247
성동구,행당1동,403
성동구,행당2동,905
성동구,응봉동,249
성동구,금호1가동,740
성동구,금호4가동,500
성동구,성수1가1동,521
성동구,성수1가2동,205
성동구,성수2가1동,808
성동구,성수2가3동,216
성동구,송정동,741
성동구,용답동,966
성동구,왕십리도선동,991
성동구,금호2.3가동,799
성동구,옥수동,585
성동구,기타,214
광진구,화양동,680
광진구,군자동,948
광진구,중곡1동,983
광진구,중곡2동,1037
광진구,중곡3동,1288
광진구,중곡4동,1671
광진구,능동,410
광진구,구의1동,1085
광진구,구의2동,1247
광진구,구의3동,543
광진구,광장동,272
광진구,자양1동,1356
광진구,자양2동,971
광진구,자양3동,410
광진구,자양4동,1046
광진구,기타,111
동대문구,회기동,322
동대문구,휘경1동,343
동대문구,휘경2동,668
동대문구,청량리동,1849
동대문구,용신동,1730
동대문구,제기동,1564
동대문구,전농1동,1893
동대문구,전농2동,793
동대문구,답십리2동,1380
동대문구,장안1동,1634
동대문구,장안2동,1532
동대문구,이문1동,770
동대문구,이문2동,986
동대문구,답십리1동,868
동대문구,기타,192
중랑구,면목2동,1844
중랑구,면목4동,1835
중랑구,면목5동,858
중랑구,면목7동,1217
중랑구,상봉1동,1795
중랑구,상봉2동,1219
중랑구,중화1동,1159
중랑구,중화2동,2602
중랑구,묵1동,1261
중랑구,묵2동,1151
중랑구,망우3동,1997
중랑구,신내1동,2487
중랑구,신내2동,1435
중랑구,면목본동,2668
중랑구,면목3.8동,1996
중랑구,망우본동,2962
중랑구,기타,573
성북구,돈암1동,648
성북구,돈암2동,382
성북구,안암동,472
성북구,보문동,567
성북구,정릉1동,451
성북구,정릉2동,879
성북구,정릉3동,828
성북구,정릉4동,934
성북구,길음1동,685
성북구,길음2동,669
성북구,월곡1동,1045
성북구,월곡2동,813
성북구,장위1동,2009
성북구,장위2동,1174
성북구,장위3동,641
성북구,성북동,471
성북구,삼선동,945
성북구,동선동,478
성북구,종암동,1477
성북구,석관동,1964
성북구,기타,382
강북구,번1동,1273
강북구,번2동,2106
강북구,번3동,3094
강북구,수유1동,1666
강북구,수유2동,1436
강북구,수유3동,1830
강북구,삼양동,1849
강북구,미아동,1480
강북구,송중동,1643
강북구,송천동,2043
강북구,삼각산동,1471
강북구,우이동,1418
강북구,인수동,2492
강북구,기타,296
도봉구,쌍문1동,1290
도봉구,쌍문2동,1266
도봉구,쌍문3동,1015
도봉구,쌍문4동,444
도봉구,방학1동,1995
도봉구,방학2동,2760
도봉구,방학3동,466
도봉구,창1동,707
도봉구,창2동,1394
도봉구,창3동,1299
도봉구,창4동,392
도봉구,창5동,691
도봉구,도봉1동,1882
도봉구,도봉2동,1244
도봉구,기타,337
노원구,월계1동,903
노원구,월계2동,2979
노원구,월계3동,2113
노원구,공릉2동,1050
노원구,하계1동,2771
노원구,하계2동,1227
노원구,중계본동,614
노원구,중계1동,765
노원구,중계4동,1885
노원구,상계1동,2082
노원구,상계2동,1134
노원구,상계5동,2262
노원구,상계8동,406
노원구,상계9동,559
노원구,상계10동,462
노원구,상계3.4동,2510
노원구,상계6.7동,1050
노원구,중계2.3동,4781
노원구,공릉1동,2572
노원구,기타,651
은평구,녹번동,1877
은평구,불광1동,1946
은평구,갈현1동,1089
은평구,갈현2동,1738
은평구,구산동,1760
은평구,대조동,1727
은평구,응암1동,1387
은평구,응암2동,1117
은평구,신사1동,1201
은평구,신사2동,1123
은평구,증산동,763
은평구,수색동,659
은평구,진관동,1821
은평구,불광2동,2348
은평구,응암3동,2004
은평구,역촌동,2611
은평구,기타,1582
서대문구,천연동,800
서대문구,홍제1동,842
서대문구,홍제3동,857
서대문구,홍제2동,655
서대문구,홍은1동,773
서대문구,홍은2동,1318
서대문구,남가좌1동,346
서대문구,남가좌2동,1423
서대문구,북가좌1동,551
서대문구,북가좌2동,1717
서대문구,충현동,808
서대문구,북아현동,586
서대문구,신촌동,406
서대문구,연희동,920
서대문구,기타,284
마포구,용강동,445
마포구,대흥동,492
마포구,염리동,421
마포구,신수동,430
마포구,서교동,454
마포구,합정동,489
마포구,망원1동,719
마포구,망원2동,486
마포구,연남동,344
마포구,성산1동,654
마포구,성산2동,2042
마포구,상암동,1451
마포구,도화동,526
마포구,서강동,348
마포구,공덕동,1166
마포구,아현동,639
마포구,기타,232
양천구,목1동,372
양천구,목2동,1135
양천구,목3동,1164
양천구,목4동,1101
양천구,신월1동,1944
양천구,신월2동,847
양천구,신월3동,1547
양천구,신월4동,505
양천구,신월5동,813
양천구,신월6동,381
양천구,신월7동,1120
양천구,신정1동,296
양천구,신정2동,750
양천구,신정3동,2718
양천구,신정6동,59
양천구,신정7동,1903
양천구,목5동,55
양천구,신정4동,1845
양천구,기타,266
강서구,염창동,247
강서구,등촌1동,285
강서구,등촌2동,552
강서구,등촌3동,5436
강서구,화곡본동,2239
강서구,화곡2동,1056
강서구,화곡3동,712
강서구,화곡4동,1318
강서구,화곡6동,1078
강서구,화곡8동,1259
강서구,가양1동,327
강서구,가양2동,3467
강서구,가양3동,2224
강서구,발산1동,1926
강서구,공항동,1795
강서구,방화1동,1346
강서구,방화2동,1834
강서구,방화3동,2382
강서구,화곡1동,2243
강서구,우장산동,723
강서구,기타,491
구로구,신도림동,223
구로구,구로1동,126
구로구,구로3동,549
구로구,구로4동,1069
구로구,구로5동,588
구로구,고척1동,716
구로구,고척2동,1444
구로구,개봉2동,903
구로구,개봉3동,710
구로구,오류1동,1177
구로구,수궁동,1258
구로구,가리봉동,698
구로구,구로2동,1160
구로구,개봉1동,1758
구로구,오류2동,2158
구로구,항동,704
구로구,기타,439
금천구,가산동,869
금천구,독산1동,1931
금천구,독산2동,1489
금천구,독산3동,1331
금천구,독산4동,1003
금천구,시흥1동,1790
금천구,시흥2동,1328
금천구,시흥3동,432
금천구,시흥4동,1532
금천구,시흥5동,2015
금천구,기타,346
영등포구,여의동,142
영등포구,당산1동,628
영등포구,당산2동,285
영등포구,양평1동,345
영등포구,양평2동,299
영등포구,신길1동,1137
영등포구,신길3동,836
영등포구,신길4동,808
영등포구,신길5동,594
영등포구,신길6동,569
영등포구,신길7동,325
영등포구,대림1동,608
영등포구,대림2동,527
영등포구,대림3동,999
영등포구,영등포본동,1089
영등포구,영등포동,1529
영등포구,도림동,917
영등포구,문래동,259
영등포구,기타,537
동작구,노량진2동,871
동작구,상도1동,1370
동작구,상도2동,550
동작구,상도3동,1148
동작구,상도4동,1512
동작구,사당1동,823
동작구,사당3동,605
동작구,사당4동,590
동작구,사당5동,459
동작구,대방동,1484
동작구,신대방1동,664
동작구,신대방2동,558
동작구,흑석동,598
동작구,노량진1동,1259
동작구,사당2동,719
동작구,기타,331
관악구,보라매동,1200
관악구,청림동,638
관악구,행운동,1145
관악구,낙성대동,470
관악구,중앙동,626
관악구,인헌동,759
관악구,남현동,359
관악구,서원동,1014
관악구,신원동,1129
관악구,서림동,1353
관악구,신사동,1227
관악구,신림동,898
관악구,난향동,700
관악구,조원동,826
관악구,대학동,1603
관악구,은천동,1737
관악구,성현동,1642
관악구,청룡동,1155
관악구,난곡동,2264
관악구,삼성동,1699
관악구,미성동,1546
관악구,기타,362
서초구,서초1동,386
서초구,서초2동,195
서초구,서초3동,393
서초구,서초4동,75
서초구,잠원동,278
서초구,반포1동,522
서초구,반포2동,21
서초구,반포3동,44
서초구,반포4동,121
서초구,방배본동,362
서초구,방배1동,347
서초구,방배2동,458
서초구,방배3동,106
서초구,방배4동,363
서초구,양재1동,2528
서초구,양재2동,795
서초구,내곡동,851
서초구,기타,142
강남구,신사동,229
강남구,개포3동,1368
강남구,논현1동,906
강남구,논현2동,549
강남구,삼성1동,148
강남구,삼성2동,523
강남구,대치1동,15
강남구,대치4동,617
강남구,역삼1동,1104
강남구,역삼2동,524
강남구,도곡1동,145
강남구,도곡2동,90
강남구,개포1동,133
강남구,개포4동,740
강남구,일원본동,111
강남구,일원1동,1724
강남구,수서동,3490
강남구,세곡동,2690
강남구,압구정동,116
강남구,청담동,229
강남구,대치2동,171
강남구,개포2동,226
강남구,기타,577
송파구,풍납1동,535
송파구,풍납2동,526
송파구,거여1동,630
송파구,거여2동,984
송파구,마천1동,1754
송파구,마천2동,1556
송파구,방이1동,343
송파구,방이2동,926
송파구,오륜동,14
송파구,오금동,1794
송파구,송파1동,585
송파구,송파2동,301
송파구,석촌동,1191
송파구,삼전동,1335
송파구,가락본동,659
송파구,가락1동,151
송파구,가락2동,564
송파구,문정1동,434
송파구,문정2동,93
송파구,잠실본동,1064
송파구,잠실4동,25
송파구,잠실6동,39
송파구,잠실7동,13
송파구,잠실2동,32
송파구,잠실3동,58
송파구,장지동,1842
송파구,위례동,1269
송파구,기타,381
강동구,강일동,2461
강동구,명일1동,435
강동구,명일2동,182
강동구,고덕1동,406
강동구,고덕2동,582
강동구,암사2동,168
강동구,암사3동,114
강동구,천호1동,1773
강동구,천호3동,1466
강동구,성내1동,388
강동구,성내2동,1066
강동구,성내3동,787
강동구,둔촌1동,2
강동구,둔촌2동,592
강동구,암사1동,2167
강동구,천호2동,2113
강동구,길동,1833
강동구,상일1동,382
강동구,상일2동,1020
강동구,기타,422
